ARKK
as of 02/02/2026

Ticker	Name	Weight	Shares	Market Value
ISTA	ISSTA LTD	1.55%	60,469	$2,161,523.14
FROG	JFROG LTD	1.55%	39,541	$2,166,846.80
RDCM	RADCOM LTD	1.55%	172,735	$2,166,096.90
FVRR	FIVERR INTERNATIONAL LTD	1.54%	128,156	$2,146,613.00
ODD	ODDITY TECH LTD-CL A	1.54%	65,515	$2,151,512.60
AUDC	AUDIOCODES LTD	1.53%	254,834	$2,127,863.90
CYBR	CYBERARK SOFTWARE LTD/ISRAEL	1.53%	4,938	$2,127,438.54
FTAL	FATTAL HOLDINGS 1998 LTD	1.53%	10,362	$2,137,821.69
HLAN	HILAN LTD	1.53%	26,737	$2,135,751.20
CHKP	CHECK POINT SOFTWARE TECH	1.52%	11,768	$2,112,473.68
MLTM	MALAM - TEAM LTD	1.52%	49,832	$2,112,472.31
NYAX	NAYAX LTD	1.52%	37,598	$2,114,216.57
MGIC	MAGIC SOFTWARE ENTERPRISES	1.51%	80,684	$2,103,226.88
MTRX	MATRIX IT LTD	1.51%	46,749	$2,099,417.93
TBLA	TABOOLA.COM LTD	1.51%	524,429	$2,097,716.00
TATTF	TAT TECHNOLOGIES LTD	1.51%	42,690	$2,097,555.21
ONE	ONE SOFTWARE TECHNOLOGIES LT	1.50%	72,769	$2,096,453.37
TLSY	TELSYS LTD	1.50%	28,414	$2,096,456.63
ALLT	ALLOT LTD	1.49%	202,708	$2,078,972.57
ETOR	ETORO GROUP LTD-A	1.49%	70,705	$2,078,727.00
PERI	PERION NETWORK LTD	1.48%	233,860	$2,057,968.00
NICE	NICE LTD - SPON ADR	1.47%	19,245	$2,047,860.45
SSYS	STRATASYS LTD	1.47%	191,786	$2,052,110.20
DRTS	ALPHA TAU MEDICAL LTD	1.45%	292,134	$2,027,409.96
CGEN	COMPUGEN LTD	1.45%	1,049,873	$2,015,306.36
RSKD	RISKIFIED LTD-A	1.45%	474,057	$2,019,482.82
NNOX	NANO-X IMAGING LTD	1.44%	733,290	$2,001,881.70
MNDY	MONDAY.COM LTD	1.40%	16,992	$1,949,832.00
PGY	PAGAYA TECHNOLOGIES LTD -A	1.38%	99,061	$1,920,792.79
CLBT	CELLEBRITE DI LTD	1.33%	126,183	$1,856,151.93
SMWB	SIMILARWEB LTD	1.32%	352,070	$1,834,284.70
MBLY	MOBILEYE GLOBAL INC-A	1.30%	202,423	$1,817,758.54
VLN	VALENS SEMICONDUCTOR LTD	1.28%	1,048,488	$1,782,429.60
SLRM	SOLROM HOLDINGS LTD	1.27%	389,863	$1,773,448.07
ENLV	ENLIVEX THERAPEUTICS LTD	0.43%	628,310	$602,434.89

--------------------------

ARKT
as of 02/02/2026

Ticker	Name	Weight	Shares	Market Value
ARKK	ARK INNOVATION ETF	93.16%	34,447	$2,579,046.89

--------------------------

ARKB
as of 02/02/2026

Ticker	Name	Weight	Shares	Market Value
BTC	BITCOIN	100.00%	36,008	$3,016,774,235.17

--------------------------
